Edge_Rank,Ticker,WinRate_5d,WinRate_10d,WinRate_20d,AvgRet_5d,AvgRet_10d,AvgRet_20d,Sample_Signals,Edge_Score
1,APP,63.64,68.18,50.0,0.35,3.48,-1.06,22,743.95
2,BKNG,81.82,81.82,86.36,1.95,2.71,4.79,22,695.24
3,AXON,72.73,86.36,68.18,0.49,2.29,0.99,22,620.09
4,NOC,68.42,63.16,89.47,1.31,2.55,4.54,19,482.49
5,DELL,42.86,57.14,71.43,0.08,1.66,4.58,14,256.87
6,VLO,53.33,60.0,73.33,0.53,1.51,3.85,15,251.2
7,LHX,65.0,50.0,70.0,1.29,1.32,1.46,20,200.94
8,MPC,61.54,69.23,92.31,1.82,0.94,8.08,13,171.74
9,NET,63.64,54.55,50.0,3.3,0.8,-4.61,22,136.83
10,NTR,52.94,58.82,94.12,0.03,0.66,4.31,17,112.21
11,ROST,47.06,47.06,82.35,0.06,0.33,2.57,17,44.89
12,KEYS,9.09,27.27,45.45,-1.88,0.34,1.48,11,23.04
13,CVX,63.16,73.68,73.68,0.05,-0.03,2.94,19,-6.62
14,EQIX,30.0,40.0,70.0,-0.44,-0.42,0.39,10,-40.28
15,PSX,57.14,50.0,71.43,-0.84,-0.43,3.8,14,-58.22
16,PWR,57.14,50.0,85.71,-0.81,-0.49,5.37,14,-66.35
17,CRWD,40.91,54.55,59.09,-0.75,-0.54,-0.43,22,-92.36
18,USO,14.29,7.14,21.43,-3.98,-5.34,-3.97,14,-103.25
19,ORCL,54.55,50.0,59.09,-1.03,-0.69,2.44,22,-108.17
20,LYB,27.27,18.18,54.55,-0.85,-2.73,1.71,11,-123.33
21,EOG,25.0,12.5,12.5,-1.34,-3.83,-5.2,16,-135.64
22,DOCN,42.86,52.38,52.38,-2.09,-1.1,1.53,21,-178.1
23,AKAM,36.84,42.11,31.58,-2.2,-1.76,-1.76,19,-222.02
24,VRTX,23.81,33.33,33.33,-2.68,-2.23,-1.58,21,-229.74
25,CF,14.29,21.43,21.43,-4.86,-4.1,-6.65,14,-237.94
26,CZR,37.5,56.25,25.0,-2.01,-1.79,-8.85,16,-285.27
27,VRT,18.18,27.27,27.27,-9.22,-5.07,-11.63,11,-343.56
28,AXTI,22.22,22.22,55.56,-5.85,-8.65,18.14,9,-442.56
29,SHEL,23.08,30.77,30.77,-3.13,-5.76,-2.41,13,-467.73
