Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Quant_Score
113,TGT,117.15,1.63,0.32,0.6287,0.3243
114,CRM,192.85,7.43,0.44,0.0954,0.3134
115,SAM,231.5,4.05,0.23,0.3329,0.3101
116,IAC,37.28,1.5,0.32,0.6276,0.3002
117,LMND,54.8,2.58,0.28,0.4034,0.2946
118,ASTS,86.95,1.13,0.42,0.6179,0.2902
119,SKYY,111.28,3.28,0.19,0.4438,0.2821
120,OKTA,78.8,7.66,0.21,0.1707,0.2729
121,LOGI,92.83,1.47,0.37,0.4902,0.264
122,UBER,73.27,1.89,0.4,0.3268,0.246
123,NIO,5.84,0.54,0.75,0.565,0.2314
124,CVE,23.11,0.74,0.33,0.9318,0.2288
125,SQQQ,75.52,4.86,0.66,0.0648,0.2093
126,EPAM,136.45,7.63,0.34,0.0759,0.1959
127,KMI,33.29,0.6,0.32,0.9163,0.1772
128,MARA,9.51,1.46,0.97,0.1207,0.171
129,PATH,11.44,1.34,0.64,0.1974,0.1705
130,LNT,72.69,1.07,0.16,0.9992,0.1674
131,SIRI,22.06,1.09,0.34,0.4424,0.1655
132,IONQ,33.49,1.87,0.37,0.2338,0.1636
133,BMBL,3.76,0.85,1.08,0.174,0.1591
134,TRI,96.52,6.43,0.19,0.1242,0.1543
135,NVAX,10.15,0.69,0.3,0.7385,0.1506
136,SPGI,420.26,2.96,0.25,0.2029,0.1502
137,CONL,9.32,2.75,0.85,0.0625,0.1465
138,BK,117.16,0.61,0.28,0.8059,0.1352
139,DKNG,26.02,3.65,0.22,0.1537,0.1254
140,RDW,9.45,1.03,0.56,0.21,0.1218
141,HOOD,73.82,0.43,0.78,0.3556,0.1191
142,SGOV,100.51,0.19,0.62,0.9981,0.1188
143,BOX,24.92,2.1,0.29,0.1926,0.1173
144,BITO,9.9,1.01,0.81,0.1429,0.117
145,PAYC,125.1,6.08,0.13,0.1269,0.101
146,W,74.53,0.62,0.28,0.5435,0.0945
147,FOXA,56.53,0.82,0.3,0.369,0.0905
148,PUBM,8.11,1.71,0.29,0.1755,0.0873
149,IIPR,52.89,1.79,0.22,0.2211,0.0871
150,DOCU,46.64,3.79,0.23,0.0957,0.0846
151,ZETA,17.73,0.75,0.26,0.4117,0.0807
152,D,63.56,0.5,0.19,0.8426,0.0787
153,VTIP,49.91,0.15,0.49,0.9589,0.0713
154,PINS,18.23,1.27,0.32,0.162,0.0662
155,AMWL,5.89,0.47,0.6,0.2359,0.0662
156,JD,28.26,0.74,0.42,0.1823,0.0566
157,WU,9.62,0.26,0.33,0.6487,0.0559
158,AON,321.0,1.67,0.22,0.1539,0.0555
159,SOXS,41.18,7.98,0.71,0.0097,0.055
160,DBX,25.62,1.34,0.2,0.2056,0.055
161,ABNB,126.17,0.51,0.25,0.4105,0.0525
162,FOX,51.58,0.4,0.36,0.3528,0.0501
163,PAYX,91.73,3.25,0.22,0.0692,0.0495
164,U,19.37,1.08,0.35,0.1097,0.0418
165,NRDS,9.86,0.3,0.52,0.2658,0.0417
166,BRZE,18.67,1.35,0.29,0.1031,0.0409
167,PLUG,2.17,0.26,0.39,0.3817,0.0397
168,OSCR,13.07,0.77,0.34,0.1484,0.0394
169,CSCO,78.33,0.19,0.27,0.7333,0.0376
170,WDAY,131.69,1.46,0.31,0.079,0.0352
171,SCHW,93.27,0.15,0.35,0.6703,0.0348
172,FRSH,8.07,0.91,0.36,0.099,0.0329
173,ICL,5.39,0.24,0.38,0.3472,0.0321
174,ABCL,3.47,0.25,0.33,0.3415,0.0285
175,FIS,49.38,1.68,0.18,0.0959,0.0285
176,GME,23.96,0.19,0.56,0.2538,0.0271
177,ZS,151.34,1.98,0.24,0.0549,0.0256
178,TTD,26.77,1.83,0.28,0.0473,0.0245
179,LTC,39.14,0.09,0.32,0.8476,0.0243
180,HPQ,18.86,0.95,0.29,0.0793,0.0221
181,BAH,77.52,1.82,0.22,0.0497,0.02
182,APPN,25.32,0.38,0.3,0.146,0.0165
183,TEAM,73.4,2.22,0.33,0.0215,0.016
184,AMPL,7.22,0.39,0.28,0.1384,0.0151
185,V,307.54,0.32,0.26,0.1406,0.0115
186,TDOC,5.26,0.72,0.19,0.08,0.0113
187,HNST,2.68,0.42,0.3,0.0884,0.011
188,BBIO,68.38,0.07,0.23,0.7348,0.0108
189,CFLT,30.67,0.05,0.31,0.6752,0.0104
190,ADP,206.81,1.13,0.3,0.0293,0.0099
191,MSTU,5.57,1.02,0.89,0.0092,0.0083
192,PRTS,0.78,0.1,0.21,0.3873,0.008
193,BBAI,3.96,0.06,0.56,0.2326,0.0078
194,NTNX,38.62,0.76,0.13,0.0673,0.0064
195,KD,12.27,0.62,0.16,0.0636,0.0064
196,FMC,14.31,0.43,0.28,0.0486,0.0059
197,BBY,62.84,0.11,0.19,0.2715,0.0055
198,WIT,2.28,0.13,0.35,0.106,0.005
199,DNUT,3.22,0.26,0.21,0.0833,0.0046
200,BIRD,3.19,0.47,0.12,0.0756,0.0043
201,TASK,10.37,0.25,0.13,0.0906,0.003
202,ASPN,3.63,0.08,0.39,0.1021,0.003
203,AIV,4.22,0.04,0.12,0.4078,0.0019
204,KLTR,1.33,0.1,0.21,0.0745,0.0016
205,ACN,196.9,0.17,0.24,0.0397,0.0016
206,BYND,0.76,0.04,0.46,0.0367,0.0007
207,SKLZ,3.34,0.03,0.43,0.0399,0.0005
208,ATER,0.59,0.03,0.29,0.0261,0.0002
209,FUBO,1.18,0.02,0.51,0.014,0.0002
210,BNGO,1.13,0.01,0.32,0.0032,0.0
211,INFY,13.37,-0.47,0.23,0.0,-0.0
212,TRIP,9.2,-0.86,0.28,0.0,-0.0
213,SNAP,4.57,-0.39,0.65,0.0006,-0.0001
214,HRTX,0.89,-0.2,0.45,0.0008,-0.0001
215,AMC,1.11,-0.06,0.4,0.0056,-0.0001
216,ANGI,7.34,-0.69,0.39,0.0007,-0.0002
217,MBLY,7.59,-1.22,0.25,0.001,-0.0003
218,GTLB,22.47,-2.46,0.27,0.001,-0.0006
219,DJT,9.83,-0.8,0.6,0.0014,-0.0007
220,ASAN,6.91,-0.11,0.33,0.019,-0.0007
221,BTBT,1.64,-0.04,0.47,0.0404,-0.0008
222,SFIX,3.18,-0.02,0.46,0.1334,-0.0009
223,TCPC,3.64,-0.89,0.34,0.0034,-0.001
224,EXFY,0.81,-0.43,0.4,0.0056,-0.001
225,FVRR,10.42,-0.64,0.17,0.0104,-0.0011
226,LCID,9.78,-0.14,0.39,0.0242,-0.0013
227,PTON,3.72,-0.32,0.55,0.009,-0.0015
228,CRSR,5.3,-0.15,0.11,0.0954,-0.0016
229,GPRO,0.74,-0.05,0.29,0.1285,-0.0019
230,SPCE,2.48,-0.07,0.58,0.0516,-0.0021
231,CTSH,60.64,-0.42,0.26,0.0208,-0.0023
232,RXRX,3.4,-0.13,0.53,0.0448,-0.0031
233,QVCGA,3.02,-0.19,0.64,0.0257,-0.0031
234,COUR,6.01,-0.29,0.17,0.0667,-0.0032
235,FIVN,16.08,-1.75,0.22,0.011,-0.0042
236,NVO,37.89,-0.7,0.26,0.0277,-0.0049
237,CPNG,18.32,-0.27,0.21,0.0909,-0.0052
238,MQ,3.99,-0.17,0.21,0.1432,-0.0054
239,ACB,3.47,-0.32,0.33,0.0532,-0.0055
240,SONY,21.52,-0.08,0.32,0.2279,-0.0058
241,CHWY,25.11,-0.37,0.22,0.0802,-0.0064
242,SAVA,1.95,-0.2,1.35,0.0244,-0.0067
243,TXG,19.06,-0.04,0.23,0.7318,-0.0068
244,BB,3.33,-0.06,0.5,0.2583,-0.0071
245,CGC,1.03,-0.14,0.68,0.0747,-0.0071
246,BTDR,7.57,-0.82,0.27,0.0346,-0.0075
247,SMR,11.64,-1.79,0.39,0.0121,-0.0084
248,AI,8.74,-1.38,0.23,0.0273,-0.0087
249,PAYO,4.53,-0.5,0.29,0.0631,-0.009
250,WEN,7.05,-0.54,0.43,0.0418,-0.0097
251,UPST,26.44,-1.7,0.5,0.0119,-0.0101
252,Z,42.66,-1.07,0.33,0.0289,-0.0102
253,ZTS,114.66,-14.0,0.4,0.0019,-0.0106
254,NTES,117.11,-0.07,0.35,0.4537,-0.011
255,AMH,28.62,-1.24,0.23,0.0396,-0.0113
256,ENVX,4.93,-1.18,0.4,0.0261,-0.0125
257,QS,6.84,-0.19,0.31,0.2198,-0.0128
258,PGR,205.87,-0.21,0.31,0.2053,-0.0135
259,IQ,1.33,-0.46,0.71,0.0411,-0.0136
260,SNY,43.65,-3.66,0.2,0.0218,-0.016
261,ATOM,4.52,-0.78,0.13,0.1678,-0.0171
262,BEKE,16.73,-0.38,0.3,0.156,-0.0174
263,GRAB,3.74,-0.41,0.37,0.1166,-0.0179
264,BAX,17.5,-3.12,0.24,0.0245,-0.0182
265,INO,1.67,-0.22,0.75,0.1133,-0.0184
266,ADMA,14.99,-0.53,0.29,0.1228,-0.0188
267,ZG,41.98,-1.86,0.4,0.026,-0.0193
268,DASH,160.81,-3.57,0.14,0.0416,-0.0201
269,SOUN,7.3,-1.06,0.46,0.042,-0.0207
270,PSEC,2.61,-0.21,0.58,0.1755,-0.0212
271,WMG,26.98,-0.45,0.26,0.1808,-0.0214
272,MRSH,172.17,-6.26,0.15,0.0243,-0.0229
273,EH,11.85,-0.73,0.78,0.0417,-0.0238
274,HOG,17.83,-1.42,0.39,0.0437,-0.0242
275,ACHR,6.1,-1.09,0.36,0.0678,-0.0263
276,DLB,61.95,-2.05,0.17,0.0769,-0.0271
277,UPWK,12.17,-0.85,0.36,0.0888,-0.0274
278,ONL,2.34,-0.17,0.49,0.3421,-0.0286
279,CPB,21.85,-5.43,0.48,0.0116,-0.0304
